fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,copy_paste
0.6643,0.00966,0.01644,0.93718,0.00052,2.59222,0.95,8.14207,0.57702,1.89038,0.01717,0.40141,0.40377,0.0,0.12984,0.2912,0.0,0.0,0.0,0.36737,0.0,0.81746,0.0,0.0
0.66763,0.00699,0.0116,0.92928,0.00061,2.70622,0.87408,7.4381,0.48986,2.15277,0.01869,0.31783,0.37882,0.0,0.12279,0.39392,0.0,0.0,0.0,0.36438,0.0,0.96417,0.0,0.0
0.68504,0.00668,0.01151,0.97177,0.00055,2.59222,0.8154,8.14207,0.52539,1.95314,0.01869,0.38864,0.40329,0.0,0.12968,0.32316,0.0,0.0,0.0,0.35071,0.0,1.0,0.0,0.0
0.67993,0.00505,0.01166,0.94458,0.0005,2.64673,0.6093,8.14207,0.34772,2.08017,0.01838,0.28334,0.51628,0.0,0.11456,0.3636,0.0,0.0,0.0,0.24009,0.0,0.87896,0.0,0.0
0.69323,0.00718,0.01082,0.91923,0.00065,2.9526,0.85781,5.07225,0.64524,1.97062,0.01825,0.31706,0.47665,0.0,0.17216,0.32462,0.0,0.0,0.0,0.2084,0.0,1.0,0.0,0.0
0.68831,0.00777,0.01159,0.92765,0.00063,2.64673,0.48873,7.10627,0.40546,2.35261,0.01838,0.31783,0.46176,0.0,0.12968,0.38175,0.0,0.0,0.0,0.23025,0.0,1.0,0.0,0.0
0.65282,0.00677,0.01069,0.98,0.00075,2.27213,0.66689,10.08668,0.34772,2.08635,0.01647,0.31643,0.30594,0.0,0.13207,0.45892,0.0,0.0,0.0,0.1804,0.0,1.0,0.0,0.0
0.683,0.00718,0.01228,0.8898,0.00073,3.03285,0.70695,10.67124,0.3046,1.81889,0.02175,0.37763,0.36399,0.0,0.13163,0.32933,0.0,0.0,0.0,0.30084,0.0,1.0,0.0,0.0
0.66284,0.00689,0.01196,0.91323,0.00072,2.30087,0.95,8.14207,0.66639,2.16023,0.01765,0.26026,0.51451,0.0,0.12138,0.39567,0.0,0.0,0.0,0.43276,0.0,1.0,0.0,0.0
0.67128,0.00739,0.01296,0.93557,0.00069,2.41999,0.64214,8.32508,0.35622,2.00393,0.01703,0.31902,0.41716,0.0,0.10425,0.39936,0.0,0.0,0.0,0.23409,0.0,1.0,0.0,0.0
0.67592,0.00639,0.01421,0.93743,0.00056,2.85248,0.56968,8.14207,0.34772,2.04231,0.02206,0.31783,0.32228,0.0,0.14235,0.35512,0.0,0.0,0.0,0.23927,0.0,1.0,0.0,0.0
0.68527,0.00659,0.01149,0.94021,0.00061,2.70552,0.59126,8.30984,0.35003,2.06207,0.01899,0.31238,0.41946,0.0,0.12783,0.34411,0.0,0.0,0.0,0.24287,0.0,0.99389,0.0,0.0
0.66033,0.00701,0.01199,0.93653,0.00059,1.63389,0.95,8.14207,0.50483,1.97665,0.02081,0.28935,0.43889,0.0,0.12968,0.50555,0.0,0.0,0.0,0.38646,0.0,0.9483,0.0,0.0
0.67216,0.00667,0.01166,0.88038,0.00065,2.26125,0.57917,9.82409,0.37933,1.75414,0.01666,0.31674,0.38094,0.0,0.1376,0.30083,0.0,0.0,0.0,0.31062,0.0,1.0,0.0,0.0
0.67555,0.00687,0.01155,0.93626,0.0006,2.59222,0.88566,8.1507,0.50483,2.16928,0.01864,0.31817,0.40377,0.0,0.12968,0.37157,0.0,0.0,0.0,0.36621,0.0,0.99267,0.0,0.0
0.6776,0.00873,0.01102,0.92543,0.00076,2.43671,0.95,7.20963,0.50483,2.16023,0.01869,0.25195,0.40377,0.0,0.16036,0.37942,0.0,0.0,0.0,0.33316,0.0,1.0,0.0,0.0
0.69128,0.00667,0.01166,0.93558,0.0006,2.67371,0.59173,8.16233,0.34356,2.08875,0.01845,0.31664,0.41866,0.0,0.12968,0.33799,0.0,0.0,0.0,0.23927,0.0,1.0,0.0,0.0
0.68812,0.00667,0.01157,0.93557,0.00059,2.76001,0.55963,8.14207,0.34772,2.08017,0.01913,0.31334,0.41716,0.0,0.13216,0.33121,0.0,0.0,0.0,0.24048,0.0,0.97907,0.0,0.0
0.69294,0.00781,0.01226,0.91948,0.00052,2.64673,0.52365,8.67188,0.34772,1.589,0.01645,0.30336,0.39894,0.0,0.13131,0.3683,0.0,0.0,0.0,0.24287,0.0,1.0,0.0,0.0
0.68125,0.00689,0.00912,0.9233,0.00044,2.59222,0.95,8.24927,0.60095,2.16023,0.01869,0.34825,0.39128,0.0,0.14129,0.37195,0.0,0.0,0.0,0.37319,0.0,1.0,0.0,0.0
0.67705,0.00704,0.01159,0.93718,0.00061,2.32705,0.88727,7.79948,0.54269,2.16023,0.01777,0.31396,0.40553,0.0,0.13645,0.32696,0.0,0.0,0.0,0.35148,0.0,0.99494,0.0,0.0
0.68264,0.00624,0.01053,0.9488,0.0006,2.6046,0.95,8.05482,0.57276,2.48919,0.01911,0.38396,0.40377,0.0,0.11975,0.37195,0.0,0.0,0.0,0.34506,0.0,0.99494,0.0,0.0
0.71592,0.00718,0.00974,0.93197,0.00055,3.36666,0.85781,4.72259,0.5465,1.92783,0.02044,0.31706,0.45266,0.0,0.18063,0.35211,0.0,0.0,0.0,0.21613,0.0,1.0,0.0,0.0
0.67794,0.00606,0.00769,0.93448,0.00057,3.3195,0.85781,4.81514,0.5465,1.98547,0.01894,0.3506,0.46997,0.0,0.18063,0.33504,0.0,0.0,0.0,0.21267,0.0,0.92692,0.0,0.0
0.7008,0.00755,0.00971,0.93604,0.00055,3.19515,0.85199,4.42511,0.54203,1.94188,0.02034,0.34238,0.46607,0.0,0.17201,0.35211,0.0,0.0,0.0,0.20584,0.0,1.0,0.0,0.0
0.70203,0.00718,0.00942,0.926,0.00054,3.32765,0.87597,4.67296,0.52808,1.96069,0.01954,0.32083,0.44781,0.0,0.18584,0.34877,0.0,0.0,0.0,0.21617,0.0,1.0,0.0,0.0
0.68427,0.00718,0.00927,0.926,0.00054,3.41378,0.84596,4.73832,0.52808,1.96069,0.01954,0.31788,0.45548,0.0,0.18584,0.35543,0.0,0.0,0.0,0.21821,0.0,1.0,0.0,0.0
0.68673,0.00686,0.0098,0.94419,0.0006,3.26715,0.82523,4.59935,0.54203,2.07107,0.01903,0.31649,0.46607,0.0,0.18287,0.34543,0.0,0.0,0.0,0.21846,0.0,1.0,0.0,0.0
0.66528,0.00862,0.00989,0.93197,0.00055,3.36666,0.85781,4.44844,0.44479,1.44363,0.02044,0.31234,0.36739,0.0,0.22156,0.41253,0.0,0.0,0.0,0.19057,0.0,0.97292,0.0,0.0
